Class of Travel,Quota,Source Station,Destination Station,Number of Passengers,Age of Passengers,Travel Distance,Number of Stations,Travel Time,Train Type,Seat Availability,Special Considerations,Holiday or Peak Season,Waitlist Position,Confirmation Status,journey_month,journey_dayofweek,days_before_journey
2AC,Ladies,KOAA,ADI,3,Senior Citizen,1480,12,11,Superfast,157,Defense Quota,Yes,0.0,1,11,0,244
3AC,Tatkal,BSB,NJP,1,Adult,1938,5,16,Shatabdi,16,Senior Citizen,Yes,18.0,0,11,1,244
2AC,Ladies,SBC,SBC,5,Adult,499,12,45,Express,484,Defense Quota,No,0.0,1,11,2,244
3AC,Premium Tatkal,GKP,SBC,1,Adult,540,3,19,Shatabdi,382,Senior Citizen,Yes,34.0,0,11,3,244
Sleeper,Tatkal,CSMT,KOAA,4,Child,811,3,16,Superfast,107,No_Special_Consideration,No,0.0,1,11,4,244
1AC,Ladies,BCT,MMCT,3,Adult,1465,12,14,Shatabdi,256,No_Special_Consideration,Yes,140.0,0,11,5,244
Sleeper,Premium Tatkal,SC,CNB,5,Child,714,5,41,Superfast,64,Defense Quota,No,0.0,1,11,6,244
Sleeper,General,NDLS,GKP,2,Senior Citizen,535,18,35,Rajdhani,471,Senior Citizen,No,0.0,1,11,0,244
3AC,General,ADI,LKO,5,Child,159,4,4,Shatabdi,161,Defense Quota,Yes,0.0,1,11,1,244
Sleeper,Premium Tatkal,SC,JP,4,Adult,550,16,25,Express,223,No_Special_Consideration,No,0.0,1,11,2,244
1AC,Ladies,LKO,CSMT,3,Senior Citizen,873,4,12,Rajdhani,359,Senior Citizen,No,0.0,1,11,3,244
2AC,General,NJP,KOAA,4,Child,457,17,3,Rajdhani,237,Senior Citizen,Yes,74.0,0,11,4,244
3AC,Premium Tatkal,UMB,CSMT,1,Adult,555,16,10,Express,110,Senior Citizen,No,0.0,1,11,5,244
Sleeper,Premium Tatkal,NDLS,JHS,5,Child,1565,6,40,Express,1,Senior Citizen,No,143.0,0,12,6,244
2AC,Ladies,SC,MAS,5,Senior Citizen,1640,4,22,Superfast,153,Senior Citizen,Yes,0.0,1,12,0,244
Sleeper,Ladies,SC,BCT,5,Senior Citizen,706,6,37,Shatabdi,235,Defense Quota,Yes,0.0,1,12,1,244
3AC,Premium Tatkal,MMCT,MAS,3,Child,265,12,34,Shatabdi,407,Defense Quota,Yes,0.0,1,12,2,244
1AC,Tatkal,ADI,PNBE,1,Child,1196,9,5,Shatabdi,60,No_Special_Consideration,Yes,172.0,0,12,3,244
2AC,Tatkal,NDLS,MMCT,4,Child,70,19,17,Shatabdi,310,No_Special_Consideration,Yes,0.0,1,12,4,244
3AC,Tatkal,UMB,BSB,4,Senior Citizen,83,9,37,Rajdhani,354,Senior Citizen,Yes,0.0,1,12,5,244
Sleeper,Premium Tatkal,LTT,LTT,4,Adult,425,8,29,Superfast,475,No_Special_Consideration,Yes,0.0,1,12,6,244
1AC,General,BBS,SBC,2,Senior Citizen,1970,11,43,Shatabdi,425,Senior Citizen,Yes,0.0,1,12,0,244
Sleeper,Tatkal,JP,JHS,4,Senior Citizen,202,19,26,Express,164,Senior Citizen,Yes,94.0,0,12,1,244
Sleeper,Ladies,BCT,SC,1,Child,113,16,16,Express,327,Defense Quota,No,169.0,0,12,2,244
3AC,Ladies,UMB,LKO,3,Senior Citizen,393,16,15,Rajdhani,235,Senior Citizen,No,0.0,1,12,3,244
2AC,Ladies,ADI,JU,3,Child,1754,2,11,Rajdhani,211,Senior Citizen,Yes,10.0,0,12,4,244
2AC,Tatkal,BSB,HWH,2,Child,1738,15,32,Rajdhani,86,No_Special_Consideration,No,134.0,0,12,5,244
1AC,Ladies,ASR,NDLS,1,Child,327,15,19,Superfast,113,Defense Quota,No,0.0,1,12,6,244
Sleeper,General,HWH,SBC,3,Child,1626,15,34,Shatabdi,468,Senior Citizen,Yes,0.0,1,12,0,244
2AC,Tatkal,GKP,SBC,2,Adult,876,7,38,Shatabdi,497,No_Special_Consideration,Yes,0.0,1,12,1,244
3AC,Tatkal,ASR,MMCT,1,Senior Citizen,1205,4,9,Express,451,Senior Citizen,No,0.0,1,12,2,244
Sleeper,Tatkal,BCT,MMCT,2,Adult,738,8,20,Express,279,Defense Quota,Yes,0.0,1,12,3,244
Sleeper,Ladies,CNB,HWH,3,Child,327,4,9,Superfast,219,No_Special_Consideration,Yes,0.0,1,12,4,244
Sleeper,Tatkal,BCT,SC,2,Adult,502,9,2,Shatabdi,181,Defense Quota,No,109.0,0,12,5,244
2AC,Ladies,MAS,NJP,1,Child,1258,8,40,Shatabdi,481,Senior Citizen,Yes,0.0,1,12,6,244
Sleeper,General,BBS,CSMT,4,Adult,703,2,3,Express,351,No_Special_Consideration,Yes,0.0,1,12,0,244
1AC,General,MMCT,ASR,5,Senior Citizen,90,13,42,Superfast,499,Defense Quota,No,191.0,0,12,1,244
2AC,General,JP,ADI,4,Child,1087,3,16,Rajdhani,467,No_Special_Consideration,No,0.0,1,12,2,244
3AC,General,GKP,GKP,3,Senior Citizen,1351,18,31,Shatabdi,232,Senior Citizen,No,10.0,0,12,3,244
2AC,Premium Tatkal,ASR,LTT,1,Adult,127,5,13,Express,274,Senior Citizen,Yes,0.0,1,12,4,244
1AC,Ladies,KOAA,ASR,1,Senior Citizen,1005,7,6,Shatabdi,239,No_Special_Consideration,Yes,10.0,0,12,5,244
3AC,Tatkal,ADI,CSMT,1,Senior Citizen,194,8,42,Express,52,No_Special_Consideration,No,26.0,0,12,6,244
3AC,Ladies,NDLS,CNB,2,Child,1823,6,14,Shatabdi,355,No_Special_Consideration,Yes,41.0,0,12,0,244
3AC,General,BCT,KOAA,3,Child,187,12,40,Shatabdi,267,No_Special_Consideration,Yes,28.0,0,12,1,244
1AC,Ladies,NDLS,GKP,1,Child,195,13,16,Superfast,290,Defense Quota,Yes,46.0,0,1,2,244
3AC,Ladies,SBC,LKO,5,Child,1714,17,40,Shatabdi,447,No_Special_Consideration,No,0.0,1,1,3,244
2AC,Ladies,MAS,SBC,1,Senior Citizen,668,8,33,Superfast,243,Senior Citizen,Yes,0.0,1,1,4,244
Sleeper,Tatkal,BBS,ASR,1,Child,95,4,43,Express,80,Senior Citizen,Yes,0.0,1,1,5,244
Sleeper,Ladies,UMB,SC,2,Child,1275,14,47,Express,24,Senior Citizen,No,0.0,1,1,6,244
1AC,Premium Tatkal,LTT,MMCT,3,Senior Citizen,1267,14,45,Shatabdi,464,No_Special_Consideration,Yes,122.0,0,1,0,244
1AC,General,JP,UMB,5,Child,1258,7,15,Shatabdi,244,Defense Quota,No,28.0,0,1,1,244
1AC,Ladies,MMCT,ADI,4,Adult,735,17,14,Superfast,213,Senior Citizen,Yes,0.0,1,1,2,244
3AC,Ladies,ASR,SC,3,Adult,1457,10,21,Express,278,Defense Quota,Yes,0.0,1,1,3,244
1AC,General,CSMT,KOAA,1,Adult,340,3,4,Rajdhani,210,Senior Citizen,Yes,0.0,1,1,4,244
2AC,Ladies,CSMT,SC,1,Senior Citizen,451,10,40,Express,64,Defense Quota,No,21.0,0,1,5,244
Sleeper,Premium Tatkal,NJP,UMB,1,Adult,794,9,40,Shatabdi,406,No_Special_Consideration,Yes,0.0,1,1,6,244
2AC,General,LTT,LKO,4,Senior Citizen,1149,17,36,Superfast,221,Senior Citizen,Yes,0.0,1,1,0,244
2AC,Ladies,JP,HWH,3,Senior Citizen,423,18,24,Rajdhani,200,Defense Quota,Yes,0.0,1,1,1,244
2AC,Premium Tatkal,JU,LTT,1,Senior Citizen,1956,15,5,Express,43,Defense Quota,No,149.0,0,1,2,244
2AC,General,GKP,CSMT,4,Child,1019,11,25,Superfast,462,Senior Citizen,Yes,0.0,1,1,3,244
Sleeper,General,ADI,SC,2,Adult,938,16,30,Express,186,No_Special_Consideration,Yes,78.0,0,1,4,244
3AC,Tatkal,JU,SBC,5,Adult,691,2,29,Shatabdi,78,No_Special_Consideration,Yes,0.0,1,1,5,244
1AC,Premium Tatkal,LKO,JP,4,Child,898,10,34,Superfast,388,Defense Quota,Yes,136.0,0,1,6,244
2AC,General,JHS,LKO,5,Child,1231,9,15,Superfast,78,Senior Citizen,Yes,0.0,1,1,0,244
Sleeper,Ladies,MMCT,JHS,4,Senior Citizen,605,14,42,Express,164,No_Special_Consideration,Yes,0.0,1,1,1,244
Sleeper,Premium Tatkal,HWH,CNB,5,Child,1540,17,11,Shatabdi,157,Defense Quota,No,0.0,1,1,2,244
2AC,Ladies,UMB,BSB,2,Adult,346,18,23,Shatabdi,317,Defense Quota,No,0.0,1,1,3,244
2AC,General,BSB,JHS,2,Adult,1467,5,29,Superfast,199,Defense Quota,Yes,0.0,1,1,4,244
Sleeper,Ladies,BCT,LTT,2,Child,469,3,45,Shatabdi,175,No_Special_Consideration,No,0.0,1,1,5,244
3AC,General,ADI,SC,4,Child,1656,15,21,Superfast,182,Senior Citizen,No,100.0,0,1,6,244
Sleeper,General,BBS,LKO,1,Adult,1104,18,12,Express,397,No_Special_Consideration,Yes,0.0,1,1,0,244
Sleeper,Tatkal,JU,JU,1,Senior Citizen,1300,9,38,Rajdhani,250,Senior Citizen,No,0.0,1,1,1,244
1AC,Ladies,KOAA,SC,2,Senior Citizen,929,15,29,Superfast,92,Defense Quota,No,0.0,1,1,2,244
2AC,Ladies,MAS,CSMT,4,Adult,1849,3,39,Superfast,473,Senior Citizen,Yes,0.0,1,1,3,244
3AC,Premium Tatkal,BSB,KOAA,1,Senior Citizen,1345,18,2,Express,376,Defense Quota,Yes,61.0,0,1,4,244
2AC,Premium Tatkal,HWH,CNB,2,Adult,761,16,10,Superfast,85,Senior Citizen,No,0.0,1,2,5,244
1AC,Ladies,ASR,JU,5,Child,963,6,6,Shatabdi,306,Senior Citizen,No,0.0,1,2,6,244
Sleeper,Ladies,UMB,UMB,1,Senior Citizen,491,9,21,Express,322,No_Special_Consideration,No,17.0,0,2,0,244
1AC,Ladies,PNBE,NJP,1,Senior Citizen,472,9,8,Rajdhani,211,Defense Quota,Yes,0.0,1,2,1,244
3AC,Premium Tatkal,NJP,PNBE,5,Adult,789,17,12,Superfast,240,Defense Quota,No,0.0,1,2,2,244
3AC,Premium Tatkal,JHS,UMB,1,Adult,1664,14,17,Shatabdi,93,Senior Citizen,No,0.0,1,2,3,244
Sleeper,General,SBC,LKO,2,Adult,1710,4,23,Rajdhani,256,Defense Quota,No,0.0,1,2,4,244
3AC,Ladies,LTT,PNBE,4,Adult,1233,3,41,Shatabdi,95,Defense Quota,Yes,0.0,1,2,5,244
1AC,Premium Tatkal,MMCT,NJP,4,Child,1799,14,27,Rajdhani,224,No_Special_Consideration,Yes,0.0,1,2,6,244
Sleeper,Premium Tatkal,CNB,JU,3,Senior Citizen,1925,7,2,Rajdhani,63,Senior Citizen,No,0.0,1,2,0,244
Sleeper,Ladies,MAS,JHS,3,Senior Citizen,367,7,40,Shatabdi,310,Defense Quota,Yes,0.0,1,2,1,244
3AC,Premium Tatkal,SC,PNBE,4,Adult,590,15,23,Superfast,268,Defense Quota,Yes,0.0,1,2,2,244
3AC,General,ASR,MAS,4,Senior Citizen,647,13,23,Shatabdi,330,Defense Quota,Yes,0.0,1,2,3,244
Sleeper,Ladies,NJP,BCT,3,Child,784,5,21,Express,366,Senior Citizen,Yes,122.0,0,2,4,244
Sleeper,Ladies,GKP,NJP,2,Senior Citizen,594,5,2,Superfast,305,Defense Quota,No,0.0,1,2,5,244
1AC,General,CSMT,SC,3,Adult,1518,8,19,Superfast,33,Defense Quota,No,135.0,0,2,6,244
Sleeper,General,JP,ASR,1,Child,843,10,3,Superfast,67,Senior Citizen,No,107.0,0,2,0,244
1AC,Tatkal,JHS,JHS,5,Senior Citizen,1478,2,2,Superfast,116,No_Special_Consideration,Yes,0.0,1,2,1,244
3AC,Ladies,PNBE,MAS,1,Child,151,7,47,Rajdhani,315,Senior Citizen,No,81.0,0,2,2,244
3AC,Tatkal,HWH,BBS,2,Child,911,15,38,Express,184,Senior Citizen,Yes,181.0,0,2,3,244
Sleeper,Ladies,LKO,CNB,1,Senior Citizen,482,4,39,Express,256,Defense Quota,No,0.0,1,2,4,244
3AC,Premium Tatkal,BCT,SC,3,Senior Citizen,1346,11,7,Rajdhani,121,Defense Quota,No,0.0,1,2,5,244
3AC,Ladies,BSB,LTT,1,Child,1326,5,21,Superfast,450,Defense Quota,Yes,0.0,1,2,6,244
1AC,General,CSMT,BSB,3,Senior Citizen,1381,8,12,Express,32,Defense Quota,Yes,0.0,1,2,0,244
3AC,General,ASR,PNBE,3,Child,1569,6,28,Shatabdi,491,No_Special_Consideration,Yes,0.0,1,2,1,244
2AC,General,BBS,MMCT,2,Senior Citizen,1114,13,6,Shatabdi,280,Senior Citizen,No,0.0,1,2,2,244
3AC,Ladies,SC,GKP,4,Adult,1918,18,17,Shatabdi,404,Senior Citizen,No,0.0,1,2,3,244
1AC,Premium Tatkal,LTT,NJP,5,Senior Citizen,1072,13,35,Shatabdi,381,Defense Quota,No,0.0,1,2,4,244
2AC,General,BSB,PNBE,2,Adult,1944,13,39,Rajdhani,77,Defense Quota,No,0.0,1,3,5,244
2AC,Ladies,NDLS,UMB,4,Senior Citizen,1498,13,36,Rajdhani,251,Senior Citizen,No,184.0,0,3,6,244
2AC,Ladies,HWH,GKP,2,Child,1788,2,27,Express,351,No_Special_Consideration,No,168.0,0,3,0,244
1AC,General,NDLS,MAS,1,Senior Citizen,610,2,26,Superfast,32,Defense Quota,No,67.0,0,3,1,244
Sleeper,Tatkal,KOAA,CSMT,1,Child,1365,3,41,Express,326,No_Special_Consideration,No,89.0,0,3,2,244
1AC,Premium Tatkal,NDLS,MAS,3,Adult,1790,17,16,Express,280,Defense Quota,Yes,192.0,0,3,3,244
2AC,Tatkal,LKO,HWH,5,Senior Citizen,1945,14,23,Express,471,Defense Quota,No,199.0,0,3,4,244
3AC,Ladies,BCT,BCT,3,Child,828,8,17,Rajdhani,84,Defense Quota,Yes,83.0,0,3,5,244
Sleeper,General,BBS,LKO,4,Adult,554,9,20,Express,481,Senior Citizen,Yes,0.0,1,3,6,244
Sleeper,Premium Tatkal,SC,JP,3,Adult,1885,17,14,Rajdhani,208,No_Special_Consideration,Yes,0.0,1,3,0,244
1AC,Tatkal,MMCT,GKP,1,Adult,1062,8,38,Superfast,463,Senior Citizen,No,0.0,1,3,1,244
Sleeper,General,MMCT,KOAA,2,Child,1799,6,47,Express,56,Senior Citizen,Yes,72.0,0,3,2,244
3AC,Premium Tatkal,BSB,LTT,2,Adult,652,3,34,Superfast,124,No_Special_Consideration,Yes,0.0,1,3,3,244
Sleeper,Premium Tatkal,ADI,NJP,2,Adult,1452,13,4,Rajdhani,456,Senior Citizen,No,0.0,1,3,4,244
Sleeper,Tatkal,SC,JP,3,Senior Citizen,1585,5,33,Shatabdi,211,Senior Citizen,No,138.0,0,3,5,244
3AC,Premium Tatkal,UMB,MMCT,4,Child,1884,16,25,Express,486,No_Special_Consideration,Yes,22.0,0,3,6,244
3AC,Tatkal,MAS,JU,4,Adult,1729,8,39,Express,430,Senior Citizen,Yes,0.0,1,3,0,244
Sleeper,General,BBS,HWH,3,Senior Citizen,1452,5,38,Superfast,320,Defense Quota,Yes,0.0,1,3,1,244
3AC,General,MMCT,LTT,4,Child,1614,4,44,Superfast,138,Senior Citizen,Yes,0.0,1,3,2,244
3AC,Ladies,MAS,SC,3,Senior Citizen,1293,12,11,Shatabdi,318,Defense Quota,No,37.0,0,3,3,244
3AC,Premium Tatkal,CNB,NJP,3,Child,1016,15,24,Shatabdi,44,Defense Quota,No,150.0,0,3,4,244
Sleeper,Tatkal,BCT,CSMT,5,Senior Citizen,1824,3,12,Express,189,Senior Citizen,No,152.0,0,3,5,244
1AC,Ladies,KOAA,BBS,3,Child,554,8,15,Express,35,No_Special_Consideration,Yes,0.0,1,3,6,244
Sleeper,General,BCT,BBS,1,Senior Citizen,1949,2,39,Shatabdi,422,No_Special_Consideration,No,0.0,1,3,0,244
Sleeper,General,LKO,JP,1,Senior Citizen,408,4,28,Express,132,Senior Citizen,Yes,0.0,1,3,1,244
Sleeper,Tatkal,MAS,JU,2,Adult,1341,10,42,Express,361,No_Special_Consideration,No,0.0,1,3,2,244
2AC,General,ADI,BCT,1,Child,883,14,14,Superfast,458,Defense Quota,No,0.0,1,3,3,244
1AC,Tatkal,SBC,JU,1,Adult,1511,10,25,Shatabdi,367,No_Special_Consideration,No,107.0,0,3,4,244
1AC,Ladies,CNB,BBS,5,Adult,695,15,44,Shatabdi,187,No_Special_Consideration,No,122.0,0,3,5,244
1AC,Ladies,BBS,SC,2,Adult,448,14,45,Express,494,Senior Citizen,No,159.0,0,3,6,244
Sleeper,Tatkal,SC,JHS,3,Child,204,7,8,Superfast,175,No_Special_Consideration,Yes,120.0,0,3,0,244
1AC,Tatkal,UMB,ASR,1,Senior Citizen,1232,14,18,Superfast,459,No_Special_Consideration,Yes,0.0,1,4,1,244
3AC,General,LKO,NDLS,1,Adult,702,6,43,Superfast,120,Senior Citizen,Yes,0.0,1,4,2,244
3AC,Tatkal,CSMT,KOAA,1,Senior Citizen,1938,4,26,Rajdhani,364,Senior Citizen,No,0.0,1,4,3,244
Sleeper,Tatkal,UMB,SC,4,Senior Citizen,1468,15,19,Express,266,No_Special_Consideration,Yes,0.0,1,4,4,244
3AC,Premium Tatkal,KOAA,SBC,2,Adult,1034,16,27,Express,330,Defense Quota,Yes,111.0,0,4,5,244
Sleeper,Tatkal,LTT,NDLS,1,Senior Citizen,211,5,35,Shatabdi,456,No_Special_Consideration,No,0.0,1,4,6,244
Sleeper,Tatkal,SBC,CSMT,3,Senior Citizen,709,3,16,Rajdhani,456,No_Special_Consideration,No,75.0,0,4,0,244
Sleeper,Premium Tatkal,BBS,MAS,1,Child,1744,11,39,Shatabdi,286,Defense Quota,No,0.0,1,4,1,244
Sleeper,Premium Tatkal,JU,CNB,2,Child,1196,9,11,Shatabdi,311,No_Special_Consideration,Yes,139.0,0,4,2,244
2AC,Tatkal,SBC,BBS,5,Senior Citizen,243,8,4,Express,234,No_Special_Consideration,Yes,0.0,1,4,3,244
2AC,General,BCT,MAS,5,Senior Citizen,217,12,22,Rajdhani,412,No_Special_Consideration,Yes,0.0,1,4,4,244
2AC,Ladies,KOAA,NDLS,4,Adult,1442,14,18,Superfast,100,No_Special_Consideration,Yes,0.0,1,4,5,244
Sleeper,General,GKP,MAS,5,Senior Citizen,281,5,9,Superfast,260,Defense Quota,No,0.0,1,4,6,244
1AC,Ladies,LKO,NJP,3,Adult,1889,19,42,Superfast,17,No_Special_Consideration,Yes,0.0,1,4,0,244
Sleeper,Premium Tatkal,JU,JHS,1,Senior Citizen,1173,10,14,Superfast,221,No_Special_Consideration,Yes,0.0,1,4,1,244
Sleeper,Premium Tatkal,KOAA,CSMT,5,Child,296,14,9,Superfast,442,Defense Quota,No,0.0,1,4,2,244
1AC,Premium Tatkal,LKO,GKP,3,Child,1040,12,24,Rajdhani,34,Senior Citizen,Yes,186.0,0,4,3,244
Sleeper,Tatkal,HWH,SC,3,Senior Citizen,1030,11,8,Express,123,No_Special_Consideration,No,134.0,0,4,4,244
2AC,General,HWH,JHS,2,Senior Citizen,853,14,33,Superfast,217,No_Special_Consideration,No,0.0,1,4,5,244
2AC,Tatkal,CNB,KOAA,1,Child,1850,7,21,Express,390,Senior Citizen,No,164.0,0,4,6,244
2AC,General,PNBE,SBC,1,Child,660,15,38,Superfast,3,Senior Citizen,No,0.0,1,4,0,244
3AC,Premium Tatkal,MAS,JP,3,Child,65,4,18,Express,422,Defense Quota,No,107.0,0,4,1,244
1AC,Tatkal,ADI,SC,2,Adult,86,17,9,Express,101,Senior Citizen,Yes,0.0,1,4,2,244
Sleeper,General,KOAA,JP,4,Child,257,2,31,Rajdhani,119,Senior Citizen,Yes,60.0,0,4,3,244
2AC,General,LKO,BBS,5,Child,1476,18,41,Superfast,487,No_Special_Consideration,No,123.0,0,4,4,244
3AC,Tatkal,CNB,ADI,2,Adult,156,6,8,Superfast,2,Defense Quota,Yes,0.0,1,4,5,244
2AC,Ladies,SC,SBC,1,Child,259,13,39,Shatabdi,185,No_Special_Consideration,Yes,0.0,1,4,6,244
2AC,Premium Tatkal,KOAA,NDLS,1,Senior Citizen,1674,13,20,Shatabdi,189,Senior Citizen,No,77.0,0,4,0,244
Sleeper,Ladies,MAS,GKP,4,Child,1112,3,17,Shatabdi,108,Defense Quota,No,0.0,1,4,1,244
2AC,Ladies,HWH,LTT,5,Child,545,9,24,Shatabdi,388,Senior Citizen,Yes,0.0,1,4,2,244
2AC,General,GKP,BCT,1,Child,193,19,18,Superfast,366,Senior Citizen,No,0.0,1,5,3,244
2AC,Premium Tatkal,BBS,BSB,1,Adult,729,8,28,Rajdhani,180,Senior Citizen,No,167.0,0,5,4,244
Sleeper,Premium Tatkal,LKO,BBS,1,Child,122,7,9,Superfast,48,Defense Quota,No,3.0,0,5,5,244
2AC,Tatkal,NJP,NDLS,1,Senior Citizen,1030,14,9,Rajdhani,464,No_Special_Consideration,No,0.0,1,5,6,244
1AC,Tatkal,MMCT,CSMT,4,Senior Citizen,1370,10,19,Shatabdi,97,Defense Quota,No,196.0,0,5,0,244
3AC,Tatkal,CSMT,BBS,4,Senior Citizen,52,11,47,Rajdhani,462,Defense Quota,No,0.0,1,5,1,244
2AC,Tatkal,KOAA,CSMT,5,Child,918,2,29,Rajdhani,367,No_Special_Consideration,No,0.0,1,5,2,244
2AC,General,UMB,ASR,5,Adult,1836,5,26,Shatabdi,386,Senior Citizen,Yes,0.0,1,5,3,244
3AC,Premium Tatkal,CNB,UMB,2,Adult,296,16,44,Superfast,113,Defense Quota,Yes,0.0,1,5,4,244
3AC,Premium Tatkal,JU,BBS,5,Senior Citizen,753,8,15,Shatabdi,93,Defense Quota,Yes,0.0,1,5,5,244
2AC,General,JHS,GKP,1,Senior Citizen,804,3,44,Shatabdi,304,Defense Quota,Yes,0.0,1,5,6,244
3AC,Ladies,BBS,NJP,3,Senior Citizen,1929,2,28,Superfast,60,Defense Quota,Yes,0.0,1,5,0,244
2AC,Ladies,JU,SC,5,Senior Citizen,1990,9,43,Superfast,309,No_Special_Consideration,Yes,103.0,0,5,1,244
Sleeper,Tatkal,KOAA,CNB,4,Child,1220,9,22,Shatabdi,171,Senior Citizen,Yes,84.0,0,5,2,244
Sleeper,General,BCT,KOAA,2,Adult,711,9,34,Shatabdi,315,Senior Citizen,No,76.0,0,5,3,244
2AC,Ladies,ADI,PNBE,4,Senior Citizen,652,19,21,Rajdhani,396,Senior Citizen,No,177.0,0,5,4,244
1AC,Ladies,KOAA,CNB,5,Child,1012,5,41,Shatabdi,30,No_Special_Consideration,Yes,0.0,1,5,5,244
1AC,General,MMCT,JP,3,Senior Citizen,410,10,25,Express,393,No_Special_Consideration,Yes,0.0,1,5,6,244
2AC,General,LTT,UMB,5,Adult,1040,4,15,Rajdhani,163,Defense Quota,No,131.0,0,5,0,244
3AC,Premium Tatkal,NJP,BSB,4,Child,976,3,35,Rajdhani,208,Senior Citizen,No,0.0,1,5,1,244
Sleeper,Premium Tatkal,SC,ASR,1,Adult,1592,5,6,Express,52,Defense Quota,No,0.0,1,5,2,244
3AC,Tatkal,JU,CNB,5,Senior Citizen,1438,6,30,Superfast,245,No_Special_Consideration,Yes,0.0,1,5,3,244
3AC,Ladies,JHS,HWH,2,Senior Citizen,841,6,21,Rajdhani,97,No_Special_Consideration,Yes,26.0,0,5,4,244
3AC,Ladies,MMCT,CNB,5,Adult,1438,15,43,Express,100,No_Special_Consideration,No,96.0,0,5,5,244
1AC,Tatkal,SC,GKP,1,Senior Citizen,761,13,12,Superfast,491,No_Special_Consideration,Yes,0.0,1,5,6,244
2AC,General,MAS,CNB,4,Adult,1814,5,47,Express,314,Senior Citizen,Yes,0.0,1,5,0,244
1AC,General,UMB,ASR,2,Senior Citizen,627,15,47,Rajdhani,113,Senior Citizen,Yes,51.0,0,5,1,244
1AC,Tatkal,CNB,GKP,4,Adult,755,10,21,Rajdhani,403,Senior Citizen,Yes,52.0,0,5,2,244
3AC,Ladies,GKP,LKO,2,Senior Citizen,1153,11,15,Rajdhani,16,Senior Citizen,Yes,114.0,0,5,3,244
1AC,Premium Tatkal,SC,CSMT,1,Adult,1017,3,32,Express,287,Defense Quota,No,130.0,0,5,4,244
Sleeper,General,MAS,UMB,2,Adult,1954,17,9,Superfast,109,Defense Quota,No,0.0,1,5,5,244
Sleeper,Premium Tatkal,CNB,ADI,5,Child,498,19,3,Express,234,No_Special_Consideration,Yes,0.0,1,6,6,244
Sleeper,Tatkal,CNB,NJP,5,Child,914,16,25,Express,13,Senior Citizen,No,0.0,1,6,0,244
1AC,Premium Tatkal,MMCT,PNBE,5,Child,1914,18,40,Rajdhani,405,Senior Citizen,No,67.0,0,6,1,244
1AC,Tatkal,MAS,GKP,4,Senior Citizen,997,10,33,Shatabdi,419,No_Special_Consideration,No,102.0,0,6,2,244
2AC,Tatkal,CNB,ASR,3,Senior Citizen,1732,3,44,Rajdhani,409,Senior Citizen,Yes,0.0,1,6,3,244
2AC,Premium Tatkal,SBC,LTT,4,Adult,1489,6,43,Shatabdi,259,Defense Quota,No,0.0,1,6,4,244
1AC,Tatkal,HWH,LTT,5,Senior Citizen,502,8,40,Shatabdi,252,Defense Quota,No,0.0,1,6,5,244
1AC,Tatkal,HWH,CSMT,4,Adult,1999,13,20,Express,258,Defense Quota,No,3.0,0,6,6,244
2AC,General,JHS,NDLS,1,Child,514,18,45,Superfast,360,No_Special_Consideration,Yes,4.0,0,6,0,244
3AC,Tatkal,LKO,BSB,5,Senior Citizen,979,8,9,Superfast,324,Senior Citizen,Yes,0.0,1,6,1,244
1AC,Premium Tatkal,JP,LKO,2,Senior Citizen,477,16,11,Superfast,499,No_Special_Consideration,Yes,0.0,1,6,2,244
Sleeper,General,PNBE,HWH,4,Child,896,19,36,Express,371,Senior Citizen,No,0.0,1,6,3,244
3AC,Tatkal,NDLS,LKO,3,Senior Citizen,461,10,26,Express,321,Defense Quota,No,0.0,1,6,4,244
1AC,Premium Tatkal,GKP,SBC,3,Adult,1792,11,6,Express,168,No_Special_Consideration,Yes,0.0,1,6,5,244
1AC,Tatkal,KOAA,MAS,2,Child,1305,7,36,Express,211,Defense Quota,Yes,0.0,1,6,6,244
2AC,Ladies,NDLS,UMB,4,Adult,1709,5,15,Rajdhani,105,No_Special_Consideration,Yes,0.0,1,6,0,244
1AC,Tatkal,JU,JP,1,Senior Citizen,1829,2,40,Rajdhani,380,No_Special_Consideration,Yes,0.0,1,6,1,244
3AC,General,CSMT,JU,3,Child,161,2,12,Express,260,Defense Quota,Yes,0.0,1,6,2,244
3AC,Premium Tatkal,BBS,GKP,4,Adult,664,9,23,Shatabdi,31,No_Special_Consideration,Yes,0.0,1,6,3,244
1AC,General,JP,GKP,3,Senior Citizen,1603,13,16,Rajdhani,450,Senior Citizen,No,0.0,1,6,4,244
3AC,General,KOAA,MAS,2,Adult,954,19,29,Superfast,268,Senior Citizen,Yes,0.0,1,6,5,244
1AC,Tatkal,ASR,CNB,1,Child,630,4,37,Express,277,No_Special_Consideration,No,159.0,0,6,6,244
1AC,Ladies,ADI,SC,2,Senior Citizen,1742,15,38,Express,138,Defense Quota,No,180.0,0,6,0,244
1AC,Tatkal,SBC,KOAA,5,Child,920,14,23,Shatabdi,479,Defense Quota,No,0.0,1,6,1,244
2AC,Premium Tatkal,NJP,BBS,3,Child,916,13,16,Express,125,Defense Quota,Yes,0.0,1,6,2,244
3AC,Premium Tatkal,LKO,BSB,2,Adult,390,18,22,Express,482,Senior Citizen,No,194.0,0,6,3,244
3AC,Ladies,SBC,MMCT,5,Child,672,8,46,Express,298,Senior Citizen,Yes,104.0,0,6,4,244
