Class of Travel,Quota,Source Station,Destination Station,Number of Passengers,Age of Passengers,Travel Distance,Number of Stations,Travel Time,Train Type,Seat Availability,Special Considerations,Holiday or Peak Season,Waitlist Position,Confirmation Status,journey_month,journey_dayofweek,days_before_journey,is_peak_or_holiday,seat_pressure,route_length_per_stop,booking_urgency_bucket
3AC,Premium Tatkal,BBS,PNBE,2,Adult,559,3,24,Rajdhani,291,No_Special_Consideration,Yes,0.0,1,12,5,244,1,0.00684931506849315,139.75,early
2AC,Premium Tatkal,CNB,UMB,5,Senior Citizen,323,3,4,Superfast,35,Senior Citizen,Yes,0.0,1,12,6,244,1,0.1388888888888889,80.75,early
Sleeper,Ladies,HWH,PNBE,5,Adult,814,18,11,Express,468,Defense Quota,Yes,0.0,1,12,0,244,1,0.010660980810234541,42.8421052631579,early
Sleeper,Ladies,NDLS,PNBE,5,Senior Citizen,1512,7,15,Superfast,460,No_Special_Consideration,No,0.0,1,12,1,244,0,0.010845986984815618,189.0,early
3AC,Ladies,CSMT,SC,3,Child,613,6,2,Shatabdi,136,Defense Quota,Yes,0.0,1,12,2,244,1,0.021897810218978103,87.57142857142857,early
3AC,Premium Tatkal,UMB,GKP,4,Adult,486,3,36,Superfast,235,No_Special_Consideration,Yes,15.0,0,12,3,244,1,0.01694915254237288,121.5,early
1AC,Tatkal,MMCT,ADI,3,Child,445,17,44,Rajdhani,67,No_Special_Consideration,No,27.0,0,12,4,244,0,0.04411764705882353,24.72222222222222,early
Sleeper,Premium Tatkal,LTT,CSMT,1,Senior Citizen,1363,10,16,Express,143,Senior Citizen,Yes,0.0,1,12,5,244,1,0.006944444444444444,123.9090909090909,early
3AC,Premium Tatkal,UMB,SBC,4,Senior Citizen,1063,14,2,Express,95,Senior Citizen,No,0.0,1,12,6,244,0,0.041666666666666664,70.86666666666666,early
3AC,Ladies,PNBE,LTT,3,Senior Citizen,1903,2,14,Superfast,64,Defense Quota,No,148.0,0,12,0,244,0,0.046153846153846156,634.3333333333334,early
2AC,Ladies,ASR,SBC,5,Senior Citizen,314,7,6,Rajdhani,206,Senior Citizen,Yes,0.0,1,12,1,244,1,0.024154589371980676,39.25,early
Sleeper,Ladies,BCT,MMCT,1,Adult,1131,11,32,Shatabdi,168,Defense Quota,Yes,141.0,0,12,2,244,1,0.005917159763313609,94.25,early
2AC,Ladies,ADI,BSB,2,Child,188,4,18,Rajdhani,305,Senior Citizen,Yes,0.0,1,12,3,244,1,0.006535947712418301,37.6,early
Sleeper,Premium Tatkal,CSMT,NDLS,2,Adult,1865,19,22,Superfast,61,Defense Quota,No,0.0,1,12,4,244,0,0.03225806451612903,93.25,early
1AC,General,LKO,ASR,4,Senior Citizen,1710,10,7,Superfast,395,Defense Quota,No,0.0,1,12,5,244,0,0.010101010101010102,155.45454545454547,early
3AC,Premium Tatkal,PNBE,LTT,5,Senior Citizen,760,13,27,Shatabdi,419,No_Special_Consideration,Yes,0.0,1,12,6,244,1,0.011904761904761904,54.285714285714285,early
2AC,Tatkal,BCT,JP,5,Senior Citizen,386,16,42,Shatabdi,200,Senior Citizen,Yes,108.0,0,12,0,244,1,0.024875621890547265,22.705882352941178,early
2AC,Ladies,BBS,CSMT,1,Adult,848,11,39,Shatabdi,167,Defense Quota,No,0.0,1,12,1,244,0,0.005952380952380952,70.66666666666667,early
Sleeper,Ladies,JP,HWH,4,Child,1778,10,4,Express,152,Senior Citizen,No,97.0,0,12,2,244,0,0.026143790849673203,161.63636363636363,early
Sleeper,Tatkal,ASR,BSB,1,Child,202,19,47,Shatabdi,467,Defense Quota,No,0.0,1,12,3,244,0,0.002136752136752137,10.1,early
3AC,General,JP,BSB,4,Adult,1237,6,12,Rajdhani,250,Senior Citizen,Yes,0.0,1,12,4,244,1,0.01593625498007968,176.71428571428572,early
Sleeper,Ladies,ASR,BCT,1,Senior Citizen,447,6,26,Express,276,Defense Quota,Yes,92.0,0,12,5,244,1,0.0036101083032490976,63.857142857142854,early
2AC,Tatkal,ASR,PNBE,5,Child,1406,8,40,Express,343,No_Special_Consideration,No,0.0,1,12,6,244,0,0.014534883720930232,156.22222222222223,early
3AC,Ladies,CSMT,JHS,1,Child,457,17,19,Rajdhani,229,Senior Citizen,No,82.0,0,12,0,244,0,0.004347826086956522,25.38888888888889,early
Sleeper,General,BCT,UMB,2,Senior Citizen,1551,14,19,Shatabdi,216,No_Special_Consideration,No,0.0,1,1,1,244,0,0.009216589861751152,103.4,early
3AC,Tatkal,ADI,JU,1,Child,1598,10,16,Express,246,No_Special_Consideration,Yes,0.0,1,1,2,244,1,0.004048582995951417,145.27272727272728,early
3AC,Ladies,SBC,ADI,4,Child,1741,15,36,Superfast,466,Defense Quota,No,0.0,1,1,3,244,0,0.008565310492505354,108.8125,early
3AC,Ladies,CSMT,JU,2,Adult,262,16,9,Shatabdi,438,No_Special_Consideration,No,0.0,1,1,4,244,0,0.004555808656036446,15.411764705882353,early
2AC,General,MAS,ASR,4,Senior Citizen,1780,14,7,Rajdhani,243,Defense Quota,No,0.0,1,1,5,244,0,0.01639344262295082,118.66666666666667,early
Sleeper,Ladies,MAS,ADI,2,Adult,613,7,37,Rajdhani,61,No_Special_Consideration,Yes,58.0,0,1,6,244,1,0.03225806451612903,76.625,early
Sleeper,Tatkal,MAS,GKP,1,Senior Citizen,1330,11,8,Superfast,498,Defense Quota,Yes,0.0,1,1,0,244,1,0.002004008016032064,110.83333333333333,early
Sleeper,Premium Tatkal,KOAA,NJP,3,Child,1768,9,20,Express,53,Defense Quota,Yes,97.0,0,1,1,244,1,0.05555555555555555,176.8,early
3AC,Ladies,BBS,KOAA,3,Senior Citizen,489,16,9,Superfast,313,No_Special_Consideration,Yes,0.0,1,1,2,244,1,0.009554140127388535,28.764705882352942,early
1AC,Premium Tatkal,ASR,LTT,2,Senior Citizen,538,17,11,Shatabdi,387,No_Special_Consideration,No,0.0,1,1,3,244,0,0.005154639175257732,29.88888888888889,early
3AC,Ladies,LTT,SBC,3,Child,386,18,3,Superfast,6,Defense Quota,Yes,192.0,0,1,4,244,1,0.42857142857142855,20.31578947368421,early
1AC,Premium Tatkal,BCT,UMB,2,Senior Citizen,1250,3,23,Express,314,Senior Citizen,No,0.0,1,1,5,244,0,0.006349206349206349,312.5,early
3AC,General,GKP,LTT,4,Child,537,10,28,Shatabdi,464,Defense Quota,Yes,0.0,1,1,6,244,1,0.008602150537634409,48.81818181818182,early
1AC,Tatkal,MAS,HWH,4,Child,1339,5,28,Superfast,490,Senior Citizen,Yes,90.0,0,1,0,244,1,0.008146639511201629,223.16666666666666,early
1AC,Ladies,SBC,MAS,5,Senior Citizen,106,7,3,Superfast,36,Senior Citizen,Yes,0.0,1,1,1,244,1,0.13513513513513514,13.25,early
1AC,Ladies,GKP,BSB,1,Senior Citizen,1265,5,46,Rajdhani,192,No_Special_Consideration,No,0.0,1,1,2,244,0,0.0051813471502590676,210.83333333333334,early
2AC,General,SC,JU,1,Adult,1879,5,40,Superfast,445,Defense Quota,Yes,62.0,0,1,3,244,1,0.002242152466367713,313.1666666666667,early
3AC,General,CSMT,HWH,3,Adult,103,13,32,Shatabdi,470,Defense Quota,No,0.0,1,1,4,244,0,0.006369426751592357,7.357142857142857,early
Sleeper,General,MMCT,JP,2,Child,1379,3,43,Rajdhani,34,No_Special_Consideration,No,97.0,0,1,5,244,0,0.05714285714285714,344.75,early
3AC,General,ADI,SBC,2,Adult,1707,9,34,Superfast,14,Defense Quota,Yes,0.0,1,1,6,244,1,0.13333333333333333,170.7,early
3AC,Ladies,JU,HWH,5,Adult,469,14,47,Shatabdi,89,No_Special_Consideration,Yes,60.0,0,1,0,244,1,0.05555555555555555,31.266666666666666,early
3AC,Premium Tatkal,JP,BBS,1,Senior Citizen,443,14,9,Superfast,9,Senior Citizen,Yes,0.0,1,1,1,244,1,0.1,29.533333333333335,early
1AC,Premium Tatkal,UMB,HWH,5,Adult,1583,12,34,Rajdhani,140,Defense Quota,Yes,0.0,1,1,2,244,1,0.03546099290780142,121.76923076923077,early
1AC,General,JU,MAS,4,Adult,957,3,43,Superfast,146,Senior Citizen,No,0.0,1,1,3,244,0,0.027210884353741496,239.25,early
2AC,Tatkal,ADI,SBC,5,Senior Citizen,1101,12,32,Express,397,Defense Quota,No,21.0,0,1,4,244,0,0.01256281407035176,84.6923076923077,early
3AC,Ladies,PNBE,CNB,3,Senior Citizen,1137,6,6,Express,352,Defense Quota,No,0.0,1,1,5,244,0,0.0084985835694051,162.42857142857142,early
3AC,Tatkal,ASR,MMCT,1,Child,1528,9,16,Express,322,Defense Quota,No,95.0,0,1,6,244,0,0.0030959752321981426,152.8,early
Sleeper,Tatkal,KOAA,BCT,4,Child,1299,13,36,Express,76,No_Special_Consideration,No,0.0,1,1,0,244,0,0.05194805194805195,92.78571428571429,early
3AC,Tatkal,UMB,GKP,1,Adult,299,10,38,Rajdhani,488,No_Special_Consideration,No,0.0,1,1,1,244,0,0.002044989775051125,27.181818181818183,early
1AC,Premium Tatkal,CSMT,ASR,3,Adult,1910,18,25,Express,429,Defense Quota,No,8.0,0,1,2,244,0,0.0069767441860465115,100.52631578947368,early
3AC,General,UMB,KOAA,3,Child,1959,6,40,Rajdhani,370,No_Special_Consideration,Yes,0.0,1,1,3,244,1,0.008086253369272238,279.85714285714283,early
2AC,General,MMCT,JP,1,Senior Citizen,967,17,22,Rajdhani,286,No_Special_Consideration,Yes,134.0,0,2,4,244,1,0.003484320557491289,53.72222222222222,early
3AC,Tatkal,BBS,JU,5,Senior Citizen,1608,5,44,Rajdhani,362,No_Special_Consideration,Yes,189.0,0,2,5,244,1,0.013774104683195593,268.0,early
1AC,General,GKP,LTT,1,Child,1831,6,24,Shatabdi,400,Senior Citizen,Yes,0.0,1,2,6,244,1,0.0024937655860349127,261.57142857142856,early
3AC,General,PNBE,ASR,2,Adult,1851,3,2,Express,137,Senior Citizen,Yes,168.0,0,2,0,244,1,0.014492753623188406,462.75,early
Sleeper,Premium Tatkal,CSMT,BCT,5,Adult,195,18,16,Rajdhani,234,No_Special_Consideration,No,0.0,1,2,1,244,0,0.02127659574468085,10.263157894736842,early
2AC,Premium Tatkal,LKO,UMB,3,Senior Citizen,1039,15,9,Express,233,Senior Citizen,Yes,0.0,1,2,2,244,1,0.01282051282051282,64.9375,early
1AC,Tatkal,MMCT,BSB,1,Adult,59,15,27,Shatabdi,241,Senior Citizen,No,103.0,0,2,3,244,0,0.004132231404958678,3.6875,early
2AC,General,CSMT,NDLS,3,Adult,201,6,34,Express,345,Defense Quota,No,0.0,1,2,4,244,0,0.008670520231213872,28.714285714285715,early
3AC,Ladies,BSB,HWH,4,Adult,1979,8,5,Rajdhani,324,Senior Citizen,No,0.0,1,2,5,244,0,0.012307692307692308,219.88888888888889,early
1AC,Ladies,PNBE,BBS,2,Child,1236,12,27,Rajdhani,150,Senior Citizen,Yes,75.0,0,2,6,244,1,0.013245033112582781,95.07692307692308,early
Sleeper,General,MMCT,NDLS,4,Senior Citizen,265,11,8,Express,265,Senior Citizen,No,0.0,1,2,0,244,0,0.015037593984962405,22.083333333333332,early
2AC,General,SC,ASR,5,Senior Citizen,917,3,42,Superfast,494,Senior Citizen,Yes,0.0,1,2,1,244,1,0.010101010101010102,229.25,early
Sleeper,Tatkal,HWH,HWH,5,Senior Citizen,1785,2,11,Rajdhani,466,Senior Citizen,Yes,166.0,0,2,2,244,1,0.010706638115631691,595.0,early
1AC,Ladies,SBC,MMCT,1,Senior Citizen,905,2,36,Rajdhani,315,Senior Citizen,No,33.0,0,2,3,244,0,0.0031645569620253164,301.6666666666667,early
2AC,General,GKP,NDLS,1,Senior Citizen,1188,9,6,Shatabdi,30,No_Special_Consideration,Yes,133.0,0,2,4,244,1,0.03225806451612903,118.8,early
3AC,Ladies,CNB,LKO,3,Child,1240,13,10,Rajdhani,492,Defense Quota,Yes,133.0,0,2,5,244,1,0.006085192697768763,88.57142857142857,early
2AC,Ladies,SBC,CSMT,3,Adult,1811,7,38,Superfast,301,Senior Citizen,No,0.0,1,2,6,244,0,0.009933774834437087,226.375,early
1AC,General,ASR,CSMT,1,Adult,803,13,44,Superfast,357,Defense Quota,Yes,195.0,0,2,0,244,1,0.002793296089385475,57.357142857142854,early
Sleeper,Tatkal,MMCT,ADI,4,Senior Citizen,1647,6,35,Express,213,Defense Quota,Yes,0.0,1,2,1,244,1,0.018691588785046728,235.28571428571428,early
1AC,Ladies,CNB,CSMT,1,Child,215,7,8,Express,282,Senior Citizen,Yes,67.0,0,2,2,244,1,0.0035335689045936395,26.875,early
1AC,General,UMB,UMB,3,Adult,1449,6,4,Superfast,4,Senior Citizen,No,0.0,1,2,3,244,0,0.6,207.0,early
Sleeper,Tatkal,KOAA,LKO,3,Adult,1776,7,42,Rajdhani,370,No_Special_Consideration,No,0.0,1,2,4,244,0,0.008086253369272238,222.0,early
1AC,General,CNB,UMB,3,Senior Citizen,1972,3,39,Rajdhani,247,Senior Citizen,No,113.0,0,2,5,244,0,0.012096774193548387,493.0,early
1AC,Tatkal,ASR,KOAA,1,Adult,1025,2,43,Rajdhani,248,Defense Quota,No,0.0,1,2,6,244,0,0.004016064257028112,341.6666666666667,early
3AC,Tatkal,NDLS,JHS,5,Senior Citizen,808,18,6,Express,169,No_Special_Consideration,Yes,0.0,1,2,0,244,1,0.029411764705882353,42.526315789473685,early
1AC,General,KOAA,MAS,1,Adult,421,2,37,Rajdhani,173,Defense Quota,Yes,0.0,1,2,1,244,1,0.005747126436781609,140.33333333333334,early
1AC,Premium Tatkal,JU,LKO,4,Senior Citizen,809,16,16,Shatabdi,378,Senior Citizen,Yes,0.0,1,2,2,244,1,0.010554089709762533,47.588235294117645,early
3AC,Ladies,SBC,JP,2,Senior Citizen,622,14,46,Superfast,44,No_Special_Consideration,No,0.0,1,2,3,244,0,0.044444444444444446,41.46666666666667,early
3AC,Ladies,CSMT,SC,3,Adult,305,9,12,Superfast,7,No_Special_Consideration,No,0.0,1,3,4,244,0,0.375,30.5,early
Sleeper,General,MAS,KOAA,2,Adult,880,4,45,Shatabdi,350,Senior Citizen,Yes,0.0,1,3,5,244,1,0.005698005698005698,176.0,early
2AC,Tatkal,PNBE,SC,1,Child,54,2,20,Superfast,122,Defense Quota,No,0.0,1,3,6,244,0,0.008130081300813009,18.0,early
2AC,Tatkal,ADI,ADI,1,Child,1052,8,44,Express,78,Defense Quota,No,87.0,0,3,0,244,0,0.012658227848101266,116.88888888888889,early
Sleeper,General,BSB,HWH,1,Child,1654,13,43,Shatabdi,58,No_Special_Consideration,No,0.0,1,3,1,244,0,0.01694915254237288,118.14285714285714,early
3AC,Tatkal,BBS,JU,4,Adult,787,2,32,Superfast,435,No_Special_Consideration,No,0.0,1,3,2,244,0,0.009174311926605505,262.3333333333333,early
3AC,Tatkal,JU,PNBE,2,Child,884,9,4,Superfast,113,No_Special_Consideration,Yes,0.0,1,3,3,244,1,0.017543859649122806,88.4,early
Sleeper,Premium Tatkal,CSMT,JP,4,Child,1971,13,37,Superfast,218,Senior Citizen,No,0.0,1,3,4,244,0,0.0182648401826484,140.78571428571428,early
1AC,Ladies,BCT,NJP,5,Senior Citizen,1907,9,4,Rajdhani,327,Senior Citizen,Yes,0.0,1,3,5,244,1,0.01524390243902439,190.7,early
Sleeper,Premium Tatkal,NJP,SC,5,Adult,1865,14,15,Shatabdi,27,No_Special_Consideration,Yes,0.0,1,3,6,244,1,0.17857142857142858,124.33333333333333,early
3AC,Tatkal,MAS,SC,1,Adult,1205,18,38,Rajdhani,72,Defense Quota,Yes,0.0,1,3,0,244,1,0.0136986301369863,63.421052631578945,early
Sleeper,General,BCT,MMCT,4,Senior Citizen,1240,12,39,Superfast,194,Senior Citizen,Yes,30.0,0,3,1,244,1,0.020512820512820513,95.38461538461539,early
Sleeper,Ladies,MAS,GKP,3,Child,78,6,32,Rajdhani,78,Senior Citizen,Yes,0.0,1,3,2,244,1,0.0379746835443038,11.142857142857142,early
Sleeper,Tatkal,CSMT,LKO,5,Senior Citizen,1904,9,3,Express,358,Senior Citizen,Yes,0.0,1,3,3,244,1,0.013927576601671309,190.4,early
2AC,Ladies,CNB,NDLS,4,Adult,188,6,36,Express,431,Senior Citizen,No,18.0,0,3,4,244,0,0.009259259259259259,26.857142857142858,early
2AC,Tatkal,NDLS,KOAA,2,Adult,1877,15,36,Shatabdi,129,Senior Citizen,No,0.0,1,3,5,244,0,0.015384615384615385,117.3125,early
3AC,General,NJP,GKP,5,Adult,472,2,32,Superfast,204,No_Special_Consideration,No,29.0,0,3,6,244,0,0.024390243902439025,157.33333333333334,early
1AC,Premium Tatkal,PNBE,KOAA,1,Senior Citizen,1876,3,36,Shatabdi,90,Senior Citizen,No,163.0,0,3,0,244,0,0.01098901098901099,469.0,early
Sleeper,Tatkal,MMCT,HWH,3,Child,1123,2,37,Shatabdi,164,Senior Citizen,Yes,0.0,1,3,1,244,1,0.01818181818181818,374.3333333333333,early
Sleeper,Ladies,JP,LTT,2,Senior Citizen,1416,18,36,Shatabdi,268,No_Special_Consideration,Yes,178.0,0,3,2,244,1,0.007434944237918215,74.52631578947368,early
3AC,Tatkal,BCT,JHS,2,Adult,309,16,6,Rajdhani,6,Defense Quota,Yes,141.0,0,3,3,244,1,0.2857142857142857,18.176470588235293,early
1AC,Ladies,NDLS,BBS,3,Child,1093,5,13,Rajdhani,279,Defense Quota,No,0.0,1,3,4,244,0,0.010714285714285714,182.16666666666666,early
3AC,Premium Tatkal,KOAA,NDLS,1,Child,769,2,37,Express,275,No_Special_Consideration,Yes,0.0,1,3,5,244,1,0.0036231884057971015,256.3333333333333,early
3AC,Ladies,CSMT,PNBE,5,Child,308,11,3,Superfast,419,No_Special_Consideration,Yes,0.0,1,3,6,244,1,0.011904761904761904,25.666666666666668,early
2AC,General,HWH,PNBE,3,Adult,222,14,27,Superfast,250,No_Special_Consideration,Yes,0.0,1,3,0,244,1,0.01195219123505976,14.8,early
2AC,Tatkal,MAS,LTT,4,Child,539,13,38,Express,271,Senior Citizen,Yes,165.0,0,3,1,244,1,0.014705882352941176,38.5,early
Sleeper,Ladies,SBC,BBS,3,Senior Citizen,551,10,31,Superfast,490,Defense Quota,Yes,88.0,0,3,2,244,1,0.006109979633401222,50.09090909090909,early
3AC,Ladies,HWH,MMCT,1,Adult,847,12,24,Shatabdi,178,No_Special_Consideration,Yes,155.0,0,3,3,244,1,0.00558659217877095,65.15384615384616,early
2AC,Ladies,LKO,NDLS,3,Adult,193,4,11,Shatabdi,450,Senior Citizen,No,0.0,1,3,4,244,0,0.0066518847006651885,38.6,early
3AC,Premium Tatkal,SBC,CNB,2,Senior Citizen,428,7,38,Rajdhani,146,Defense Quota,No,90.0,0,3,5,244,0,0.013605442176870748,53.5,early
3AC,General,ADI,JHS,1,Adult,1925,7,20,Rajdhani,69,No_Special_Consideration,No,0.0,1,3,6,244,0,0.014285714285714285,240.625,early
Sleeper,Ladies,NJP,BBS,2,Adult,1699,2,20,Express,137,No_Special_Consideration,No,0.0,1,4,0,244,0,0.014492753623188406,566.3333333333334,early
1AC,Tatkal,BBS,ADI,3,Senior Citizen,1789,8,4,Shatabdi,291,Senior Citizen,No,35.0,0,4,1,244,0,0.010273972602739725,198.77777777777777,early
2AC,Premium Tatkal,LKO,MMCT,2,Adult,1374,11,28,Superfast,409,Senior Citizen,Yes,191.0,0,4,2,244,1,0.004878048780487805,114.5,early
2AC,Premium Tatkal,MMCT,NJP,3,Child,206,12,17,Shatabdi,93,Senior Citizen,Yes,125.0,0,4,3,244,1,0.031914893617021274,15.846153846153847,early
1AC,General,CNB,ADI,2,Senior Citizen,1817,13,31,Superfast,16,Senior Citizen,Yes,120.0,0,4,4,244,1,0.11764705882352941,129.78571428571428,early
Sleeper,Ladies,ADI,JU,3,Adult,1821,5,2,Express,232,No_Special_Consideration,Yes,0.0,1,4,5,244,1,0.012875536480686695,303.5,early
2AC,Tatkal,BSB,GKP,1,Senior Citizen,121,15,26,Shatabdi,169,No_Special_Consideration,No,29.0,0,4,6,244,0,0.0058823529411764705,7.5625,early
Sleeper,Tatkal,NJP,GKP,3,Child,1296,14,15,Rajdhani,206,Defense Quota,Yes,0.0,1,4,0,244,1,0.014492753623188406,86.4,early
3AC,Premium Tatkal,MMCT,CSMT,5,Child,309,6,37,Superfast,469,No_Special_Consideration,No,0.0,1,4,1,244,0,0.010638297872340425,44.142857142857146,early
3AC,General,CSMT,JHS,4,Child,715,8,23,Rajdhani,110,Senior Citizen,Yes,185.0,0,4,2,244,1,0.036036036036036036,79.44444444444444,early
Sleeper,Ladies,LTT,CNB,4,Child,1417,19,10,Shatabdi,211,No_Special_Consideration,No,5.0,0,4,3,244,0,0.018867924528301886,70.85,early
3AC,Tatkal,ADI,BCT,5,Adult,889,4,43,Shatabdi,226,No_Special_Consideration,Yes,93.0,0,4,4,244,1,0.022026431718061675,177.8,early
Sleeper,Ladies,MAS,BSB,5,Adult,1446,3,22,Express,292,Defense Quota,Yes,0.0,1,4,5,244,1,0.017064846416382253,361.5,early
Sleeper,Premium Tatkal,UMB,BSB,1,Senior Citizen,1235,15,22,Superfast,427,Senior Citizen,No,0.0,1,4,6,244,0,0.002336448598130841,77.1875,early
2AC,Ladies,LKO,BCT,3,Child,1802,14,39,Rajdhani,209,No_Special_Consideration,No,0.0,1,4,0,244,0,0.014285714285714285,120.13333333333334,early
2AC,Tatkal,GKP,BBS,4,Adult,1124,17,33,Superfast,333,Senior Citizen,No,0.0,1,4,1,244,0,0.011976047904191617,62.44444444444444,early
1AC,Ladies,LKO,JU,2,Senior Citizen,204,6,25,Shatabdi,134,Senior Citizen,Yes,0.0,1,4,2,244,1,0.014814814814814815,29.142857142857142,early
Sleeper,Ladies,PNBE,JU,3,Adult,161,3,33,Rajdhani,194,Senior Citizen,Yes,182.0,0,4,3,244,1,0.015384615384615385,40.25,early
3AC,Premium Tatkal,BBS,ASR,1,Adult,1166,11,45,Superfast,477,Senior Citizen,Yes,0.0,1,4,4,244,1,0.0020920502092050207,97.16666666666667,early
1AC,Ladies,CSMT,BBS,5,Senior Citizen,1885,16,24,Superfast,455,No_Special_Consideration,Yes,0.0,1,4,5,244,1,0.010964912280701754,110.88235294117646,early
1AC,Ladies,CSMT,JP,4,Child,500,5,27,Shatabdi,230,Senior Citizen,No,0.0,1,4,6,244,0,0.017316017316017316,83.33333333333333,early
3AC,General,CNB,UMB,1,Senior Citizen,246,5,39,Shatabdi,171,No_Special_Consideration,No,192.0,0,4,0,244,0,0.005813953488372093,41.0,early
Sleeper,General,MAS,MAS,4,Adult,453,4,25,Rajdhani,193,Senior Citizen,Yes,33.0,0,4,1,244,1,0.020618556701030927,90.6,early
Sleeper,Tatkal,LTT,HWH,4,Senior Citizen,149,3,14,Express,472,Defense Quota,Yes,129.0,0,4,2,244,1,0.008456659619450317,37.25,early
Sleeper,Tatkal,GKP,JHS,4,Child,528,14,26,Rajdhani,376,Senior Citizen,Yes,0.0,1,4,3,244,1,0.010610079575596816,35.2,early
3AC,General,JP,LTT,3,Senior Citizen,266,5,24,Express,232,No_Special_Consideration,No,191.0,0,4,4,244,0,0.012875536480686695,44.333333333333336,early
2AC,Premium Tatkal,ADI,UMB,3,Child,96,4,15,Rajdhani,234,No_Special_Consideration,Yes,0.0,1,4,5,244,1,0.01276595744680851,19.2,early
Sleeper,Tatkal,LKO,CNB,2,Adult,1411,5,27,Shatabdi,285,Defense Quota,No,0.0,1,4,6,244,0,0.006993006993006993,235.16666666666666,early
2AC,Premium Tatkal,SBC,JHS,2,Adult,323,11,20,Superfast,308,Defense Quota,Yes,0.0,1,4,0,244,1,0.006472491909385114,26.916666666666668,early
2AC,Premium Tatkal,BCT,BBS,3,Child,1864,14,5,Shatabdi,201,Senior Citizen,Yes,0.0,1,4,1,244,1,0.01485148514851485,124.26666666666667,early
2AC,General,SBC,NDLS,4,Senior Citizen,219,5,30,Superfast,10,No_Special_Consideration,Yes,72.0,0,5,2,244,1,0.36363636363636365,36.5,early
1AC,Ladies,SBC,SBC,3,Child,261,9,21,Superfast,43,Senior Citizen,No,16.0,0,5,3,244,0,0.06818181818181818,26.1,early
Sleeper,Tatkal,GKP,BCT,2,Adult,1869,19,10,Express,354,Defense Quota,Yes,2.0,0,5,4,244,1,0.005633802816901409,93.45,early
1AC,Ladies,LTT,SBC,2,Adult,340,12,13,Shatabdi,120,Senior Citizen,No,0.0,1,5,5,244,0,0.01652892561983471,26.153846153846153,early
Sleeper,General,CSMT,NDLS,2,Senior Citizen,897,19,24,Shatabdi,450,Defense Quota,Yes,157.0,0,5,6,244,1,0.004434589800443459,44.85,early
3AC,Tatkal,BCT,HWH,3,Child,1522,18,23,Shatabdi,306,No_Special_Consideration,Yes,0.0,1,5,0,244,1,0.009771986970684038,80.10526315789474,early
2AC,Ladies,JU,ADI,4,Senior Citizen,499,16,22,Express,212,Senior Citizen,No,137.0,0,5,1,244,0,0.018779342723004695,29.352941176470587,early
2AC,Ladies,JHS,BCT,4,Adult,1868,9,13,Express,430,No_Special_Consideration,No,182.0,0,5,2,244,0,0.009280742459396751,186.8,early
2AC,Ladies,ASR,SC,3,Adult,129,13,9,Express,325,No_Special_Consideration,No,23.0,0,5,3,244,0,0.009202453987730062,9.214285714285714,early
3AC,Premium Tatkal,GKP,CNB,1,Senior Citizen,641,18,44,Rajdhani,453,No_Special_Consideration,No,0.0,1,5,4,244,0,0.0022026431718061676,33.73684210526316,early
Sleeper,General,MMCT,UMB,3,Child,1418,15,33,Superfast,438,Defense Quota,Yes,46.0,0,5,5,244,1,0.00683371298405467,88.625,early
1AC,Ladies,MMCT,NDLS,2,Senior Citizen,1847,4,5,Superfast,225,Senior Citizen,Yes,117.0,0,5,6,244,1,0.008849557522123894,369.4,early
Sleeper,Ladies,LTT,CSMT,5,Senior Citizen,958,11,20,Express,99,No_Special_Consideration,Yes,0.0,1,5,0,244,1,0.05,79.83333333333333,early
1AC,Tatkal,CNB,BBS,1,Adult,304,4,13,Rajdhani,288,Senior Citizen,No,30.0,0,5,1,244,0,0.0034602076124567475,60.8,early
3AC,Tatkal,ASR,MAS,4,Adult,1713,8,21,Express,230,Defense Quota,Yes,0.0,1,5,2,244,1,0.017316017316017316,190.33333333333334,early
1AC,Tatkal,GKP,CSMT,3,Senior Citizen,333,5,12,Shatabdi,148,No_Special_Consideration,Yes,0.0,1,5,3,244,1,0.020134228187919462,55.5,early
3AC,Tatkal,LKO,MAS,5,Senior Citizen,1352,19,41,Superfast,238,Senior Citizen,Yes,0.0,1,5,4,244,1,0.02092050209205021,67.6,early
Sleeper,Tatkal,NDLS,ADI,4,Senior Citizen,1072,7,11,Rajdhani,375,No_Special_Consideration,No,0.0,1,5,5,244,0,0.010638297872340425,134.0,early
1AC,Ladies,KOAA,BCT,4,Senior Citizen,1789,11,33,Shatabdi,263,Defense Quota,Yes,0.0,1,5,6,244,1,0.015151515151515152,149.08333333333334,early
Sleeper,Tatkal,BCT,SC,1,Child,677,3,10,Express,366,No_Special_Consideration,Yes,0.0,1,5,0,244,1,0.0027247956403269754,169.25,early
3AC,Ladies,JU,ADI,2,Senior Citizen,597,18,38,Express,330,Senior Citizen,Yes,0.0,1,5,1,244,1,0.006042296072507553,31.42105263157895,early
2AC,Premium Tatkal,LKO,LKO,5,Senior Citizen,1915,10,31,Superfast,288,No_Special_Consideration,No,0.0,1,5,2,244,0,0.01730103806228374,174.0909090909091,early
Sleeper,Ladies,NJP,KOAA,3,Child,475,18,9,Superfast,18,Senior Citizen,Yes,0.0,1,5,3,244,1,0.15789473684210525,25.0,early
2AC,General,HWH,KOAA,1,Child,997,18,27,Express,215,Senior Citizen,Yes,0.0,1,5,4,244,1,0.004629629629629629,52.473684210526315,early
