Number of Passengers,Travel Distance,Number of Stations,Travel Time,Seat Availability,journey_month,journey_dayofweek,days_before_journey,seat_pressure,route_length_per_stop,is_peak_or_holiday,Class of Travel,Quota,Source Station,Destination Station,Train Type,Special Considerations,Holiday or Peak Season,booking_urgency_bucket,Age of Passengers
5,762,2,11,402,6,4,244,0.0124069478908188,254.0,1,3AC,Ladies,KOAA,BSB,Rajdhani,Senior Citizen,Yes,early,Senior Citizen
2,656,6,35,107,8,1,244,0.0185185185185185,93.71428571428572,1,Sleeper,Tatkal,MMCT,ASR,Rajdhani,Senior Citizen,Yes,early,Adult
2,1448,15,6,127,3,4,244,0.015625,90.5,1,2AC,Ladies,GKP,LKO,Rajdhani,No_Special_Consideration,Yes,early,Adult
1,1287,8,15,24,9,5,244,0.04,143.0,0,Sleeper,Ladies,BSB,JP,Rajdhani,Defense Quota,No,early,Child
1,963,3,19,134,5,6,244,0.0074074074074074,240.75,0,1AC,Tatkal,GKP,JU,Rajdhani,Defense Quota,No,early,Adult
1,381,16,25,140,4,0,244,0.0070921985815602,22.41176470588235,0,3AC,Tatkal,NDLS,JHS,Superfast,No_Special_Consideration,No,early,Child
4,97,16,44,381,1,4,244,0.0104712041884816,5.705882352941177,0,3AC,Tatkal,PNBE,NJP,Rajdhani,Senior Citizen,No,early,Adult
5,1608,3,39,414,7,4,244,0.0120481927710843,402.0,0,3AC,General,MAS,CSMT,Shatabdi,Defense Quota,No,early,Senior Citizen
4,820,3,3,420,8,2,244,0.009501187648456,205.0,1,Sleeper,Ladies,HWH,ASR,Express,Defense Quota,Yes,early,Child
1,1509,2,47,268,4,0,244,0.0037174721189591,503.0,1,3AC,General,NJP,UMB,Shatabdi,Senior Citizen,Yes,early,Senior Citizen
1,1055,8,12,262,4,3,244,0.0038022813688212,117.22222222222224,0,3AC,Premium Tatkal,JU,KOAA,Superfast,No_Special_Consideration,No,early,Senior Citizen
5,1433,5,5,396,5,0,244,0.0125944584382871,238.83333333333337,1,Sleeper,Tatkal,KOAA,JHS,Rajdhani,Senior Citizen,Yes,early,Child
3,374,9,12,217,9,6,244,0.0137614678899082,37.4,0,1AC,Premium Tatkal,LTT,CSMT,Express,Defense Quota,No,early,Senior Citizen
5,170,9,46,350,6,4,244,0.0142450142450142,17.0,1,1AC,Premium Tatkal,BSB,NJP,Shatabdi,No_Special_Consideration,Yes,early,Child
1,544,4,11,324,8,3,244,0.003076923076923,108.8,0,3AC,Premium Tatkal,BCT,GKP,Superfast,Senior Citizen,No,early,Adult
5,1039,16,24,375,5,1,244,0.0132978723404255,61.11764705882353,0,3AC,Premium Tatkal,MMCT,GKP,Rajdhani,Defense Quota,No,early,Adult
4,1284,12,29,178,12,1,244,0.0223463687150838,98.76923076923076,0,Sleeper,General,BCT,LTT,Rajdhani,Senior Citizen,No,early,Senior Citizen
5,729,18,43,498,5,6,244,0.0100200400801603,38.36842105263158,0,2AC,Tatkal,KOAA,JHS,Superfast,Senior Citizen,No,early,Senior Citizen
1,1003,10,45,441,4,0,244,0.002262443438914,91.1818181818182,0,3AC,Premium Tatkal,JHS,JU,Express,Senior Citizen,No,early,Adult
2,356,6,13,400,10,2,244,0.0049875311720698,50.857142857142854,1,2AC,Tatkal,ADI,ASR,Express,Senior Citizen,Yes,early,Child
3,1128,6,6,397,12,1,244,0.007537688442211,161.14285714285714,1,1AC,General,LTT,MMCT,Express,No_Special_Consideration,Yes,early,Adult
1,751,13,36,34,5,5,244,0.0285714285714285,53.642857142857146,0,2AC,Ladies,HWH,CNB,Express,Senior Citizen,No,early,Child
5,1230,6,25,357,2,2,244,0.0139664804469273,175.71428571428572,0,Sleeper,Tatkal,ADI,ASR,Rajdhani,Defense Quota,No,early,Senior Citizen
3,1255,4,42,337,7,1,244,0.0088757396449704,251.0,0,2AC,Premium Tatkal,CSMT,HWH,Rajdhani,Senior Citizen,No,early,Child
4,186,4,37,74,10,5,244,0.0533333333333333,37.2,0,2AC,Tatkal,JU,PNBE,Superfast,No_Special_Consideration,No,early,Adult
4,1062,12,37,32,2,0,244,0.1212121212121212,81.6923076923077,0,Sleeper,Tatkal,HWH,GKP,Rajdhani,Defense Quota,No,early,Child
3,330,16,40,469,5,4,244,0.0063829787234042,19.41176470588235,1,Sleeper,Premium Tatkal,UMB,JU,Rajdhani,No_Special_Consideration,Yes,early,Adult
4,1056,11,44,393,1,4,244,0.0101522842639593,88.0,1,3AC,Tatkal,MMCT,SC,Rajdhani,Senior Citizen,Yes,early,Child
1,1927,10,36,432,1,6,244,0.0023094688221709,175.1818181818182,1,2AC,Ladies,SC,BBS,Rajdhani,Defense Quota,Yes,early,Child
3,1825,3,40,494,8,1,244,0.006060606060606,456.25,0,1AC,Premium Tatkal,MAS,MMCT,Shatabdi,No_Special_Consideration,No,early,Senior Citizen
4,988,17,37,171,7,5,244,0.0232558139534883,54.888888888888886,0,Sleeper,Tatkal,BCT,PNBE,Express,Defense Quota,No,early,Adult
5,286,8,11,353,1,1,244,0.0141242937853107,31.77777777777778,1,2AC,General,JP,GKP,Express,Senior Citizen,Yes,early,Senior Citizen
5,1427,14,12,249,3,2,244,0.02,95.13333333333334,0,2AC,General,JHS,MAS,Shatabdi,No_Special_Consideration,No,early,Child
1,1945,9,23,153,9,4,244,0.0064935064935064,194.5,0,Sleeper,General,GKP,CSMT,Express,Defense Quota,No,early,Senior Citizen
4,822,13,20,330,4,6,244,0.0120845921450151,58.714285714285715,0,Sleeper,Premium Tatkal,SBC,JHS,Rajdhani,No_Special_Consideration,No,early,Child
2,504,3,7,343,1,1,244,0.005813953488372,126.0,1,1AC,Tatkal,SC,LKO,Shatabdi,Senior Citizen,Yes,early,Senior Citizen
4,144,4,7,71,8,2,244,0.0555555555555555,28.8,1,3AC,Ladies,PNBE,SBC,Rajdhani,No_Special_Consideration,Yes,early,Senior Citizen
2,1597,15,47,217,3,4,244,0.0091743119266055,99.8125,1,2AC,General,LKO,BSB,Rajdhani,No_Special_Consideration,Yes,early,Adult
3,1220,11,14,103,12,6,244,0.0288461538461538,101.66666666666669,1,1AC,Tatkal,JP,NJP,Rajdhani,Senior Citizen,Yes,early,Senior Citizen
3,803,5,5,348,11,2,244,0.0085959885386819,133.83333333333334,0,Sleeper,General,PNBE,ADI,Express,No_Special_Consideration,No,early,Adult
2,128,8,25,364,4,3,244,0.0054794520547945,14.22222222222222,0,1AC,General,PNBE,BSB,Shatabdi,Defense Quota,No,early,Child
4,791,5,38,273,12,0,244,0.0145985401459854,131.83333333333334,0,2AC,Ladies,ASR,GKP,Shatabdi,Defense Quota,No,early,Child
4,1455,9,8,236,2,3,244,0.0168776371308016,145.5,0,3AC,Premium Tatkal,JU,SC,Shatabdi,Defense Quota,No,early,Child
4,1155,3,37,479,1,3,244,0.0083333333333333,288.75,1,Sleeper,General,CNB,CSMT,Express,Defense Quota,Yes,early,Adult
3,1098,15,40,170,12,4,244,0.0175438596491228,68.625,0,3AC,General,UMB,GKP,Rajdhani,No_Special_Consideration,No,early,Adult
4,789,5,32,255,12,5,244,0.015625,131.5,1,1AC,General,GKP,JP,Shatabdi,Senior Citizen,Yes,early,Adult
1,262,3,25,277,9,5,244,0.0035971223021582,65.5,1,3AC,Premium Tatkal,JU,ASR,Express,Defense Quota,Yes,early,Adult
3,96,15,6,125,8,3,244,0.0238095238095238,6.0,0,3AC,Ladies,BBS,CSMT,Express,Senior Citizen,No,early,Child
2,1802,15,6,333,5,5,244,0.0059880239520958,112.625,1,3AC,Ladies,MAS,MAS,Shatabdi,Senior Citizen,Yes,early,Senior Citizen
1,1572,16,20,334,9,6,244,0.0029850746268656,92.47058823529412,1,3AC,Premium Tatkal,JP,PNBE,Superfast,Defense Quota,Yes,early,Adult
3,613,16,11,318,12,6,244,0.0094043887147335,36.05882352941177,1,1AC,Ladies,PNBE,BBS,Rajdhani,No_Special_Consideration,Yes,early,Child
5,392,3,21,286,3,0,244,0.0174216027874564,98.0,1,2AC,General,CNB,CSMT,Rajdhani,Senior Citizen,Yes,early,Adult
1,1021,13,20,324,11,5,244,0.003076923076923,72.92857142857143,1,1AC,Premium Tatkal,KOAA,SBC,Rajdhani,No_Special_Consideration,Yes,early,Senior Citizen
1,905,8,40,474,6,2,244,0.0021052631578947,100.55555555555556,1,Sleeper,Ladies,JHS,MAS,Express,No_Special_Consideration,Yes,early,Senior Citizen
2,425,11,33,183,10,3,244,0.0108695652173913,35.416666666666664,0,1AC,Tatkal,NJP,NJP,Shatabdi,Senior Citizen,No,early,Senior Citizen
5,1967,9,25,248,4,2,244,0.0200803212851405,196.7,1,3AC,Tatkal,NJP,SC,Shatabdi,Senior Citizen,Yes,early,Child
2,589,13,36,423,8,4,244,0.0047169811320754,42.07142857142857,0,3AC,Ladies,NJP,MAS,Express,Defense Quota,No,early,Child
4,244,2,13,265,1,4,244,0.0150375939849624,81.33333333333333,1,2AC,Tatkal,JP,BCT,Superfast,No_Special_Consideration,Yes,early,Child
2,1967,13,12,43,1,6,244,0.0454545454545454,140.5,0,1AC,Ladies,BSB,ASR,Rajdhani,Defense Quota,No,early,Adult
2,787,13,19,133,3,1,244,0.0149253731343283,56.214285714285715,0,Sleeper,Ladies,ADI,ADI,Rajdhani,Defense Quota,No,early,Adult
4,892,10,39,288,4,1,244,0.0138408304498269,81.0909090909091,0,3AC,Tatkal,JU,JHS,Superfast,No_Special_Consideration,No,early,Senior Citizen
2,1629,7,24,463,9,2,244,0.0043103448275862,203.625,0,Sleeper,Premium Tatkal,CNB,CNB,Rajdhani,Defense Quota,No,early,Child
4,1997,10,26,490,1,2,244,0.0081466395112016,181.54545454545453,0,2AC,Premium Tatkal,JHS,CSMT,Shatabdi,Defense Quota,No,early,Child
4,1373,2,31,355,8,3,244,0.0112359550561797,457.6666666666667,0,1AC,Premium Tatkal,BCT,LKO,Shatabdi,Defense Quota,No,early,Child
5,921,17,32,73,8,1,244,0.0675675675675675,51.166666666666664,1,3AC,Tatkal,PNBE,SC,Rajdhani,Senior Citizen,Yes,early,Child
3,705,17,17,255,12,1,244,0.01171875,39.166666666666664,0,1AC,Ladies,BBS,LTT,Superfast,Defense Quota,No,early,Senior Citizen
1,1738,19,27,70,5,0,244,0.0140845070422535,86.9,0,1AC,Tatkal,SBC,MMCT,Express,No_Special_Consideration,No,early,Senior Citizen
5,187,15,3,6,8,4,244,0.7142857142857143,11.6875,1,Sleeper,Ladies,LTT,BBS,Express,No_Special_Consideration,Yes,early,Senior Citizen
4,786,19,23,79,9,0,244,0.05,39.3,0,1AC,Ladies,SC,MAS,Shatabdi,Senior Citizen,No,early,Child
4,1322,6,13,95,2,4,244,0.0416666666666666,188.8571428571429,1,3AC,Ladies,BSB,CNB,Rajdhani,Defense Quota,Yes,early,Child
4,1468,19,37,159,8,3,244,0.025,73.4,0,Sleeper,Ladies,NDLS,JU,Express,Defense Quota,No,early,Adult
2,615,4,43,26,1,5,244,0.074074074074074,123.0,1,Sleeper,Premium Tatkal,MMCT,PNBE,Shatabdi,Defense Quota,Yes,early,Adult
2,539,18,7,282,12,4,244,0.0070671378091872,28.36842105263158,0,Sleeper,Tatkal,CNB,LKO,Express,No_Special_Consideration,No,early,Child
3,1249,8,23,314,5,4,244,0.0095238095238095,138.77777777777777,1,3AC,Tatkal,JHS,PNBE,Rajdhani,No_Special_Consideration,Yes,early,Adult
2,282,2,38,118,4,2,244,0.0168067226890756,94.0,0,3AC,General,HWH,JHS,Express,Senior Citizen,No,early,Senior Citizen
5,1142,4,11,386,8,0,244,0.0129198966408268,228.4,1,Sleeper,Tatkal,ADI,BSB,Express,Defense Quota,Yes,early,Senior Citizen
3,221,6,46,80,11,1,244,0.037037037037037,31.571428571428573,0,1AC,General,BSB,NJP,Express,Senior Citizen,No,early,Adult
4,612,13,5,239,10,1,244,0.0166666666666666,43.714285714285715,0,3AC,Ladies,PNBE,BSB,Superfast,Senior Citizen,No,early,Child
1,170,18,28,156,5,5,244,0.0063694267515923,8.947368421052632,1,Sleeper,Premium Tatkal,CSMT,JP,Rajdhani,Senior Citizen,Yes,early,Senior Citizen
2,1335,11,30,26,12,1,244,0.074074074074074,111.25,1,3AC,Premium Tatkal,PNBE,JU,Shatabdi,No_Special_Consideration,Yes,early,Senior Citizen
1,699,8,26,443,7,0,244,0.0022522522522522,77.66666666666667,1,3AC,Premium Tatkal,CNB,UMB,Rajdhani,Defense Quota,Yes,early,Senior Citizen
2,1869,19,10,354,5,4,244,0.0056338028169014,93.45,1,Sleeper,Tatkal,GKP,BCT,Express,Defense Quota,Yes,early,Adult
3,1308,7,28,392,5,2,244,0.0076335877862595,163.5,0,2AC,Premium Tatkal,ASR,SC,Superfast,Senior Citizen,No,early,Senior Citizen
3,1999,7,31,471,11,2,244,0.0063559322033898,249.875,0,2AC,Tatkal,MAS,GKP,Superfast,Defense Quota,No,early,Adult
5,156,7,14,194,1,1,244,0.0256410256410256,19.5,0,3AC,Premium Tatkal,BCT,CSMT,Express,No_Special_Consideration,No,early,Adult
5,1920,15,19,116,10,0,244,0.0427350427350427,120.0,1,3AC,Tatkal,SC,ADI,Superfast,No_Special_Consideration,Yes,early,Adult
3,1656,5,35,420,9,2,244,0.007125890736342,276.0,0,3AC,Ladies,GKP,BBS,Rajdhani,Senior Citizen,No,early,Child
2,1218,4,22,375,4,3,244,0.0053191489361702,243.6,1,3AC,Premium Tatkal,ADI,HWH,Shatabdi,Defense Quota,Yes,early,Child
2,1575,17,5,302,3,3,244,0.0066006600660066,87.5,1,Sleeper,Tatkal,MMCT,SC,Shatabdi,Senior Citizen,Yes,early,Adult
2,1656,7,7,100,11,0,244,0.0198019801980198,207.0,0,3AC,Tatkal,BSB,LKO,Shatabdi,Defense Quota,No,early,Child
3,1330,7,10,229,12,2,244,0.0130434782608695,166.25,0,Sleeper,General,BBS,MMCT,Superfast,Senior Citizen,No,early,Child
1,1524,11,41,208,9,6,244,0.0047846889952153,127.0,1,1AC,General,SC,BCT,Shatabdi,Senior Citizen,Yes,early,Senior Citizen
2,558,7,10,406,6,3,244,0.0049140049140049,69.75,1,1AC,Premium Tatkal,KOAA,HWH,Superfast,Senior Citizen,Yes,early,Child
3,1599,14,20,363,9,5,244,0.0082417582417582,106.6,1,1AC,Ladies,SC,CSMT,Rajdhani,Senior Citizen,Yes,early,Senior Citizen
4,1331,18,27,147,10,3,244,0.027027027027027,70.05263157894737,1,2AC,Ladies,CNB,PNBE,Superfast,Defense Quota,Yes,early,Child
1,143,6,45,219,9,0,244,0.0045454545454545,20.428571428571427,1,1AC,General,LKO,HWH,Express,No_Special_Consideration,Yes,early,Child
4,890,10,4,42,5,5,244,0.0930232558139534,80.9090909090909,1,2AC,General,LTT,BBS,Shatabdi,No_Special_Consideration,Yes,early,Senior Citizen
2,1223,5,20,378,3,1,244,0.0052770448548812,203.83333333333337,0,2AC,General,ADI,ADI,Shatabdi,Defense Quota,No,early,Child
5,1707,14,7,65,8,2,244,0.0757575757575757,113.8,1,3AC,Tatkal,BBS,GKP,Shatabdi,No_Special_Consideration,Yes,early,Child
2,311,19,33,40,1,1,244,0.048780487804878,15.55,1,1AC,Premium Tatkal,SC,JU,Superfast,No_Special_Consideration,Yes,early,Child
5,1153,7,38,352,9,6,244,0.0141643059490084,144.125,1,Sleeper,Tatkal,MMCT,LKO,Superfast,No_Special_Consideration,Yes,early,Adult
4,678,4,45,449,6,1,244,0.0088888888888888,135.6,0,Sleeper,Premium Tatkal,KOAA,BCT,Superfast,Defense Quota,No,early,Senior Citizen
2,179,4,43,349,12,6,244,0.0057142857142857,35.8,0,1AC,Premium Tatkal,UMB,SC,Express,No_Special_Consideration,No,early,Adult
5,864,9,12,202,10,4,244,0.0246305418719211,86.4,0,2AC,Premium Tatkal,JP,GKP,Express,No_Special_Consideration,No,early,Child
2,816,4,37,89,7,5,244,0.0222222222222222,163.2,1,3AC,Ladies,CSMT,NJP,Shatabdi,No_Special_Consideration,Yes,early,Senior Citizen
4,1856,15,9,246,10,6,244,0.0161943319838056,116.0,0,1AC,General,JHS,JU,Shatabdi,Senior Citizen,No,early,Child
5,1951,5,30,43,2,4,244,0.1136363636363636,325.1666666666667,1,2AC,Premium Tatkal,BSB,BCT,Shatabdi,No_Special_Consideration,Yes,early,Adult
1,670,14,12,406,8,2,244,0.0024570024570024,44.666666666666664,0,1AC,Ladies,LTT,PNBE,Rajdhani,No_Special_Consideration,No,early,Adult
4,1796,12,11,361,7,2,244,0.011049723756906,138.15384615384616,0,2AC,Ladies,JHS,LTT,Rajdhani,Defense Quota,No,early,Senior Citizen
2,1806,11,33,191,5,5,244,0.0104166666666666,150.5,0,Sleeper,Ladies,MMCT,CNB,Express,Senior Citizen,No,early,Senior Citizen
3,1582,19,17,335,9,0,244,0.0089285714285714,79.1,0,Sleeper,Tatkal,SC,GKP,Rajdhani,No_Special_Consideration,No,early,Senior Citizen
2,238,17,14,130,9,3,244,0.015267175572519,13.22222222222222,1,3AC,Tatkal,JHS,KOAA,Shatabdi,Defense Quota,Yes,early,Adult
2,1642,17,18,173,10,2,244,0.0114942528735632,91.22222222222224,0,1AC,Ladies,SC,BBS,Express,Defense Quota,No,early,Adult
4,1426,2,16,422,12,4,244,0.0094562647754137,475.3333333333333,0,2AC,Premium Tatkal,JP,KOAA,Shatabdi,Senior Citizen,No,early,Child
5,1218,7,22,486,3,2,244,0.0102669404517453,152.25,1,1AC,Tatkal,LTT,ASR,Shatabdi,Defense Quota,Yes,early,Senior Citizen
2,1761,17,17,106,12,0,244,0.0186915887850467,97.83333333333331,0,3AC,General,HWH,GKP,Superfast,No_Special_Consideration,No,early,Child
3,1978,18,46,55,11,0,244,0.0535714285714285,104.10526315789474,1,Sleeper,Ladies,NJP,NDLS,Shatabdi,No_Special_Consideration,Yes,early,Adult
5,752,17,44,331,10,4,244,0.0150602409638554,41.77777777777778,0,Sleeper,Premium Tatkal,BBS,HWH,Superfast,Defense Quota,No,early,Senior Citizen
3,413,5,27,20,7,5,244,0.1428571428571428,68.83333333333333,0,3AC,Premium Tatkal,PNBE,LTT,Superfast,Senior Citizen,No,early,Child
5,1627,2,3,115,4,5,244,0.043103448275862,542.3333333333334,1,2AC,Premium Tatkal,HWH,CSMT,Express,Senior Citizen,Yes,early,Senior Citizen
3,1760,13,37,363,1,0,244,0.0082417582417582,125.71428571428572,0,3AC,Ladies,ADI,ADI,Rajdhani,Defense Quota,No,early,Senior Citizen
5,549,15,19,184,7,3,244,0.027027027027027,34.3125,1,3AC,Tatkal,NJP,BSB,Express,No_Special_Consideration,Yes,early,Adult
4,1559,8,43,188,12,4,244,0.0211640211640211,173.22222222222223,1,3AC,Tatkal,HWH,JP,Superfast,No_Special_Consideration,Yes,early,Child
1,1254,16,25,8,9,2,244,0.1111111111111111,73.76470588235294,0,1AC,Tatkal,NJP,LKO,Superfast,Defense Quota,No,early,Senior Citizen
4,468,12,23,291,2,0,244,0.0136986301369863,36.0,1,Sleeper,General,ASR,MMCT,Shatabdi,No_Special_Consideration,Yes,early,Adult
2,67,14,17,497,9,3,244,0.0040160642570281,4.466666666666667,0,1AC,General,JP,JU,Express,No_Special_Consideration,No,early,Child
1,146,15,19,3,3,0,244,0.25,9.125,0,2AC,Ladies,JU,ASR,Rajdhani,No_Special_Consideration,No,early,Child
3,376,19,32,468,7,6,244,0.0063965884861407,18.8,1,3AC,General,ASR,GKP,Rajdhani,No_Special_Consideration,Yes,early,Adult
2,89,9,4,413,5,3,244,0.0048309178743961,8.9,0,2AC,General,JU,NJP,Superfast,Senior Citizen,No,early,Adult
4,1209,8,11,82,5,2,244,0.0481927710843373,134.33333333333334,1,Sleeper,Tatkal,ASR,UMB,Shatabdi,No_Special_Consideration,Yes,early,Child
1,984,13,5,253,8,2,244,0.0039370078740157,70.28571428571429,0,Sleeper,Premium Tatkal,MAS,JP,Express,Defense Quota,No,early,Adult
3,185,8,8,95,8,4,244,0.03125,20.555555555555557,1,2AC,General,MMCT,LKO,Superfast,No_Special_Consideration,Yes,early,Adult
3,1982,16,22,461,6,1,244,0.0064935064935064,116.58823529411764,0,3AC,Premium Tatkal,BBS,SBC,Superfast,Senior Citizen,No,early,Senior Citizen
5,311,17,6,492,10,2,244,0.0101419878296146,17.27777777777778,0,3AC,General,JP,CNB,Rajdhani,No_Special_Consideration,No,early,Senior Citizen
3,1967,12,38,308,5,6,244,0.0097087378640776,151.30769230769232,0,3AC,General,JU,CNB,Express,Senior Citizen,No,early,Senior Citizen
2,834,10,42,499,10,0,244,0.004,75.81818181818181,1,3AC,Premium Tatkal,LTT,BCT,Express,Senior Citizen,Yes,early,Senior Citizen
4,1388,4,31,159,1,1,244,0.025,277.6,0,1AC,Ladies,SC,BCT,Superfast,No_Special_Consideration,No,early,Child
4,90,19,17,53,3,4,244,0.074074074074074,4.5,1,1AC,General,HWH,JU,Express,No_Special_Consideration,Yes,early,Child
5,1742,3,10,498,9,6,244,0.0100200400801603,435.5,0,2AC,Tatkal,NJP,MMCT,Express,Defense Quota,No,early,Child
1,360,4,11,488,9,6,244,0.0020449897750511,72.0,0,3AC,Tatkal,HWH,UMB,Express,No_Special_Consideration,No,early,Senior Citizen
3,851,12,47,26,1,5,244,0.1111111111111111,65.46153846153847,0,2AC,Tatkal,SBC,LTT,Superfast,Defense Quota,No,early,Senior Citizen
4,1583,7,46,440,9,1,244,0.0090702947845804,197.875,0,3AC,General,GKP,BCT,Express,Defense Quota,No,early,Adult
1,1320,16,24,195,1,5,244,0.0051020408163265,77.6470588235294,1,1AC,General,JU,HWH,Express,Senior Citizen,Yes,early,Adult
1,249,15,3,128,8,4,244,0.0077519379844961,15.5625,0,Sleeper,General,JP,LKO,Shatabdi,Defense Quota,No,early,Senior Citizen
4,964,12,24,406,7,2,244,0.0098280098280098,74.15384615384616,0,Sleeper,Ladies,CSMT,KOAA,Express,Defense Quota,No,early,Child
1,557,14,38,443,6,3,244,0.0022522522522522,37.13333333333333,0,Sleeper,Ladies,GKP,LKO,Shatabdi,No_Special_Consideration,No,early,Child
1,1196,13,11,374,7,1,244,0.0026666666666666,85.42857142857143,1,1AC,Ladies,SC,UMB,Superfast,No_Special_Consideration,Yes,early,Adult
2,1424,19,38,303,3,5,244,0.006578947368421,71.2,1,Sleeper,Tatkal,ASR,LKO,Superfast,Senior Citizen,Yes,early,Senior Citizen
5,1061,16,28,254,12,4,244,0.0196078431372549,62.411764705882355,1,3AC,Tatkal,JU,JU,Express,Defense Quota,Yes,early,Child
2,822,2,6,247,4,1,244,0.0080645161290322,274.0,1,Sleeper,Tatkal,KOAA,SBC,Shatabdi,Defense Quota,Yes,early,Senior Citizen
2,959,3,10,181,8,6,244,0.0109890109890109,239.75,0,3AC,Tatkal,SC,KOAA,Rajdhani,Senior Citizen,No,early,Child
5,1355,12,30,466,8,6,244,0.0107066381156316,104.23076923076924,1,1AC,Premium Tatkal,MAS,LKO,Rajdhani,Senior Citizen,Yes,early,Senior Citizen
3,302,6,25,247,9,1,244,0.0120967741935483,43.142857142857146,1,2AC,Tatkal,SC,MMCT,Shatabdi,No_Special_Consideration,Yes,early,Child
5,1214,19,39,419,7,0,244,0.0119047619047619,60.7,1,2AC,Premium Tatkal,BCT,BBS,Express,Senior Citizen,Yes,early,Senior Citizen
2,161,3,26,401,3,1,244,0.0049751243781094,40.25,1,3AC,Ladies,NJP,PNBE,Superfast,Senior Citizen,Yes,early,Child
1,922,10,39,301,5,4,244,0.0033112582781456,83.81818181818181,0,3AC,Premium Tatkal,ADI,SBC,Express,Defense Quota,No,early,Child
2,215,8,15,319,6,1,244,0.00625,23.88888888888889,1,Sleeper,Premium Tatkal,CNB,ASR,Superfast,Senior Citizen,Yes,early,Senior Citizen
1,1591,3,20,328,9,3,244,0.0030395136778115,397.75,1,1AC,Tatkal,KOAA,CSMT,Shatabdi,Senior Citizen,Yes,early,Child
5,1957,5,36,458,3,3,244,0.0108932461873638,326.1666666666667,1,Sleeper,General,LTT,NDLS,Shatabdi,Senior Citizen,Yes,early,Senior Citizen
3,1203,18,36,432,6,6,244,0.0069284064665127,63.31578947368421,0,Sleeper,Ladies,BCT,NJP,Express,Defense Quota,No,early,Adult
4,545,11,35,444,6,2,244,0.0089887640449438,45.416666666666664,1,1AC,Ladies,UMB,BBS,Express,Defense Quota,Yes,early,Adult
2,1896,15,6,59,5,2,244,0.0333333333333333,118.5,0,1AC,Ladies,CNB,BBS,Shatabdi,Senior Citizen,No,early,Child
5,1173,18,7,416,7,0,244,0.0119904076738609,61.73684210526316,1,3AC,General,UMB,LKO,Shatabdi,Senior Citizen,Yes,early,Senior Citizen
4,251,5,3,344,1,3,244,0.0115942028985507,41.833333333333336,1,1AC,General,NDLS,MMCT,Express,No_Special_Consideration,Yes,early,Senior Citizen
2,88,15,44,400,4,5,244,0.0049875311720698,5.5,1,Sleeper,Ladies,MMCT,CNB,Rajdhani,No_Special_Consideration,Yes,early,Child
1,352,12,26,493,10,3,244,0.0020242914979757,27.076923076923077,1,2AC,Ladies,MAS,SC,Rajdhani,No_Special_Consideration,Yes,early,Adult
2,476,3,24,29,10,4,244,0.0666666666666666,119.0,0,3AC,Tatkal,UMB,JHS,Shatabdi,No_Special_Consideration,No,early,Child
2,1883,19,40,439,4,0,244,0.0045454545454545,94.15,1,2AC,Tatkal,CNB,UMB,Shatabdi,No_Special_Consideration,Yes,early,Adult
3,424,3,39,367,9,4,244,0.0081521739130434,106.0,0,2AC,General,LKO,JP,Shatabdi,Senior Citizen,No,early,Adult
5,1095,12,41,38,11,5,244,0.1282051282051282,84.23076923076923,0,1AC,General,GKP,UMB,Express,Defense Quota,No,early,Senior Citizen
5,1011,7,43,470,12,1,244,0.0106157112526539,126.375,0,Sleeper,General,SC,MMCT,Rajdhani,Defense Quota,No,early,Senior Citizen
1,344,14,15,424,11,3,244,0.0023529411764705,22.933333333333337,1,1AC,Ladies,BBS,UMB,Rajdhani,No_Special_Consideration,Yes,early,Child
3,878,12,19,200,10,6,244,0.0149253731343283,67.53846153846153,0,1AC,Ladies,JHS,BSB,Rajdhani,No_Special_Consideration,No,early,Child
4,282,13,21,423,5,4,244,0.0094339622641509,20.142857142857142,0,Sleeper,Ladies,BBS,HWH,Express,No_Special_Consideration,No,early,Child
5,840,13,20,293,3,4,244,0.0170068027210884,60.0,1,2AC,Ladies,NJP,CNB,Shatabdi,Defense Quota,Yes,early,Adult
2,287,14,13,38,12,3,244,0.0512820512820512,19.133333333333333,1,1AC,Tatkal,LKO,KOAA,Shatabdi,No_Special_Consideration,Yes,early,Child
3,710,3,45,72,11,5,244,0.0410958904109589,177.5,0,3AC,Ladies,MAS,KOAA,Rajdhani,Senior Citizen,No,early,Adult
3,1566,17,26,192,11,5,244,0.0155440414507772,87.0,0,Sleeper,Premium Tatkal,GKP,CNB,Express,No_Special_Consideration,No,early,Senior Citizen
4,156,2,11,22,1,4,244,0.1739130434782608,52.0,0,2AC,Ladies,UMB,SC,Shatabdi,Defense Quota,No,early,Adult
5,329,16,38,258,7,3,244,0.0193050193050193,19.352941176470587,1,1AC,General,GKP,NDLS,Superfast,Defense Quota,Yes,early,Adult
3,414,9,9,336,2,2,244,0.0089020771513353,41.4,1,1AC,Premium Tatkal,BCT,SC,Express,Defense Quota,Yes,early,Child
1,453,13,2,333,11,0,244,0.0029940119760479,32.357142857142854,0,Sleeper,General,CSMT,BCT,Superfast,Senior Citizen,No,early,Adult
3,1154,6,23,251,5,1,244,0.0119047619047619,164.85714285714286,0,3AC,General,JU,KOAA,Rajdhani,No_Special_Consideration,No,early,Senior Citizen
4,1376,3,43,346,2,3,244,0.0115273775216138,344.0,1,3AC,General,UMB,BBS,Express,No_Special_Consideration,Yes,early,Child
